OrderDate,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,year,day_of_month,week_of_year,month_sin,month_cos,day_of_week_sin,day_of_week_cos,Sales Channel_In-Store,Sales Channel_Online,Sales Channel_Wholesale,lag_1,lag_2,lag_3,lag_4,lag_5,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,ewm_mean_7,ewm_std_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,ewm_mean_14,ewm_std_14,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,ewm_mean_30,ewm_std_30,diff_1
2018-06-03,305,23,7.0,0.075,2734.61,6076.9,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,5.0,3.0,4.0,3.0,7.0,3.7142857142857144,1.8898223650461348,1.0,7.0,3.991933789643568,1.6213376787310745,3.857142857142857,1.6574838603294886,1.0,7.0,4.0661115314713605,1.714259056184997,4.533333333333333,1.8888663510036974,1.0,8.0,4.35896919421834,1.6988465927795993,2.0
2018-06-03,303,14,7.0,0.2,4186.7,5735.2,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,7.0,5.0,3.0,4.0,3.0,4.285714285714286,2.2146697055682814,1.0,7.0,4.743950342232676,1.9876878651750056,4.142857142857143,1.833749536506379,1.0,7.0,4.457296660608512,1.902125819738342,4.6,1.9404940714620362,1.0,8.0,4.529358278462318,1.7709612451870202,0.0
2018-06-03,217,7,3.0,0.1,2077.34,3919.5,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,7.0,7.0,5.0,3.0,4.0,5.142857142857143,1.8644544714716074,3.0,7.0,5.307962756674507,2.0190498454490555,4.357142857142857,1.984832597364432,1.0,7.0,4.796323772527377,1.9849973329883994,4.733333333333333,1.9640446187314118,1.0,8.0,4.688754518561524,1.8205654395818256,-4.0
2018-06-03,362,46,1.0,0.05,3832.67,6083.6,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,3.0,7.0,7.0,5.0,3.0,4.571428571428571,1.81265393434993,3.0,7.0,4.73097206750588,2.0549052509601506,4.285714285714286,2.016416144037253,1.0,7.0,4.5568139361903945,1.9535430190113618,4.8,1.8643663987975962,1.0,8.0,4.5798026141382,1.8096753636384248,-2.0
2018-06-03,335,40,5.0,0.075,1642.3,2566.1,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,1.0,1.0,3.0,7.0,7.0,5.0,4.285714285714286,2.2146697055682814,1.0,7.0,3.79822905062941,2.4923904329943043,4.071428571428571,2.2001498450467727,1.0,7.0,4.082572078031675,2.209493496438946,4.566666666666666,1.8879533405494835,1.0,8.0,4.348847606774445,1.9667859100845153,4.0
2018-06-03,84,38,2.0,0.075,1093.44,2278.0,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,5.0,1.0,3.0,7.0,7.0,4.428571428571429,2.225394561056746,1.0,7.0,4.098671787972058,2.2304568986593605,4.142857142857143,2.2138425646596684,1.0,7.0,4.204895800960785,2.082213055236855,4.466666666666667,1.775956921917237,1.0,8.0,4.390857438595448,1.9078373161147455,-3.0
2018-06-03,256,1,1.0,0.075,120.2,261.3,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,2.0,5.0,1.0,3.0,7.0,4.285714285714286,2.3603873774083284,1.0,7.0,3.574003840979043,2.1667189642885925,3.7857142857142856,2.1187286256174915,1.0,7.0,3.910909694166014,2.0886588901968306,4.366666666666666,1.828572711411701,1.0,8.0,4.236608571589291,1.939248114505607,-1.0
2018-06-03,360,17,8.0,0.05,698.81,998.3,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,2.0,5.0,1.0,3.0,3.7142857142857144,2.6276913640612167,1.0,7.0,2.9305028807342826,2.229423804883054,3.7142857142857144,2.1989008243131,1.0,7.0,3.5227884016105455,2.1989293181196814,4.266666666666667,1.928610958665603,1.0,8.0,4.0277951153577245,2.04288129498308,7.0
2018-06-03,90,40,6.0,0.2,1958.54,3497.4,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,8.0,1.0,2.0,5.0,1.0,3.857142857142857,2.8535691936340246,1.0,8.0,4.197877160550712,3.057708186840627,4.071428571428571,2.4640269015229053,1.0,8.0,4.119749948062473,2.585566525391677,4.366666666666666,2.042367343994731,1.0,8.0,4.284066398237872,2.2118632342667315,-2.0
2018-06-03,196,25,4.0,0.05,486.89,1132.3,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,6.0,8.0,1.0,2.0,5.0,3.7142857142857144,2.690370836538196,1.0,8.0,4.648407870413035,2.778957940890725,4.428571428571429,2.344036154692476,1.0,8.0,4.3704499549874765,2.4967430426549786,4.433333333333334,2.0625283000496615,1.0,8.0,4.394771791899945,2.1811851705913194,-2.0
2018-06-03,40,2,7.0,0.05,1587.5,2405.3,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,4.0,6.0,8.0,1.0,2.0,3.857142857142857,2.672612419124243,1.0,8.0,4.486305902809776,2.4256803364807293,4.214285714285714,2.2249830225306098,1.0,8.0,4.321056627655813,2.3280066784536437,4.3,1.9502431324996552,1.0,8.0,4.369302644035432,2.11113641549054,3.0
2018-06-03,367,3,8.0,0.05,3249.97,5701.7,2018,3,22,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,7.0,4.0,6.0,8.0,1.0,4.714285714285714,2.563479777846622,1.0,8.0,5.114729427107332,2.4073118330414895,4.5,2.3121751331060207,1.0,8.0,4.678249077301705,2.3643387646480045,4.333333333333333,1.988472526464911,1.0,8.0,4.539025054097662,2.1449131213397306,1.0
2018-06-04,249,34,1.0,0.2,1446.8,2452.2,2018,4,23,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,4.0,6.0,8.0,5.142857142857143,2.8535691936340246,1.0,8.0,5.836047070330499,2.4834270060795127,4.785714285714286,2.486225790494234,1.0,8.0,5.121149200328144,2.493566360267024,4.433333333333334,2.0956989342433006,1.0,8.0,4.7623137602849095,2.2477255518821044,-7.0
